title,authors,abstracts,venue,year_token,year,primary_topic,reference_count,citation_count,keywords,Label
pearceaposs characterisation epistemic domain,ezgi iraz su,noabstract,iclp,year_post_2024,2024,notopic,0,0,nokeyword,2
aspdriven userinteraction clinguin,alexander beiser susana hahn torsten schaub,present clinguin system aspdriven user interface design clinguin streamline development user interface asp developer letting build interactive prototype directly asp eliminate need separate frontend language end clinguin use dedicated predicate define user interface treatment usertriggere event simple design greatly facilitate specification user interaction asp system case clingo,iclp,year_post_2024,2024,multiagent system negotiation,17,0,computer science humancomputer interaction chemistry,5
prolog program bottomup evaluation,david s. warren,short paper describe simple intuitive prolog program metainterpreter compute bottom mean simple positive horn clause definition involve simple transformation object program rule metarules use metainterpreter compute bottom model original program result algorithm form seminaive bottomup evaluation discuss various reason prolog program particularly interesting particular perhaps prolog program find use prolog assert1 intrinsic easily understand good perspicuous way program algorithm short paper might well characterize prolog programming pearl,iclp,year_post_2024,2024,software system performance reliability,0,0,prolog programming language computer science software engineering,5
ordersorte intensional logic express subtype polymorphism type assertion quantification concept,đorđe marković marc denecker,subtype also know subtype polymorphism concept extensively study programming language theory delineate substitutability relation among datatype property ensure program design supertype object remain compatible subtype paper explore capability ordersorte logic utilize idea context knowledge representation recognize two fundamental limitation first inability logic address concept rather value nonlogical symbol second lack language construct constraining type term consequently propose guard ordersorted intensional logic guard language construct annotate type information intensional logic provide support quantification concept,iclp,year_post_2024,2024,semantic web ontology,0,0,subtype programming language type computer science polymorphism computer science biology genetic genotype gene,1
coq formalization unification modulo exclusiveor,yichi xu daniel j. dougherty rose bohrer,equational unification critical problem many area automate theorem prove security protocol analysisin paper focus xorunification unification modulo theory exclusiveorthis theory contain operator property associativity commutativity nilpotency presence identityin proof assistant coq implement algorithm solve xor unification problem whose design inspire liu lynch prove sound complete terminatingusing coqs code extraction capability obtain implementation programming language ocaml,iclp,year_post_2024,2024,semigroups automata theory,0,0,unification modulo programming language computer science proof assistant arithmetic mathematic discrete mathematic,1
generate causally compliant counterfactual explanation use asp,sopam dasgupta,research focus generate achievable counterfactual explanation give negative outcome compute machine learn model decision system novel cog approach generate counterfactual solution represent positive outcome ii path take we negative outcome positive one node path represent change attribute feature value cog compute path respect causal constraint among feature thus counterfactual compute cog realistic cog utilize rulebase machine learn algorithm model causal dependency feature paper discuss current status research preliminary result obtain,iclp,year_post_2024,2024,business process modeling analysis,17,0,counterfactual thinking psychology computer science cognitive psychology social psychology,3
bridge logic programming deep learning explainability ilasp,talissa dreossi,research explore integrate deep learn logic programming set basis new generation ai system combine neural network inductive logic programming ilp goal construct system make accurate prediction generate comprehensible rule validate prediction deep learning model process analyze complex datum ilp technique derive logical rule prove network conclusion explainable ai method like explainable answer set programming xasp elucidate reasoning behind rule decision focus apply ilp framework specifically ilasp fastlas enhance explainability various domain test case span weather prediction legal field image recognition weather forecasting system predict event provide explanation use fastlas plan integrate recurrent neural network future legal domain research focus interpret vague decision assist legal professional encode italian legal article learn reasoning pattern court cassation decision use ilasp biological laboratory collaborate research group automate spermatozoa morphology classification bull breeding soundness evaluation use yolo network ilp explain classification outcome hybrid approach aim bridge gap high performance deep learning model transparency symbolic reasoning advance ai provide interpretable trustworthy application,iclp,year_post_2024,2024,semantic web ontology,44,0,bridge network computer science artificial intelligence cognitive science psychology computer security,5
computational method dynamic answer set programming,susana hahn,daily live industrial setting often encounter dynamic problem require reasoning time metric constraint include task schedule rout production sequence dynamic logic traditionally address need often lack flexibility integration require comprehensive problem modeling research aim extend answer set programming asp powerful declarative problemsolve approach handle dynamic domain effectively integrate concept dynamic temporal metric logic asp seek develop robust system capable modeling complex dynamic problem perform efficient reasoning task thereby enhance asps applicability industrial context,iclp,year_post_2024,2024,logic reasoning knowledge,0,0,answer set programming computer science set abstract datum type programming language algorithm,5
relate answer set programming manysorte logic formal verification,zachary hansen,answer set programming asp important logic programming paradigm within field knowledge representation reasoning concise humanreadable declarative language asp excellent tool develop trustworthy especially artificially intelligent software system however formally verify asp program offer unique challenge 1 lack modularity meaning rule difficult define isolation enclose program 2 groundandsolve semantic meaning rule dependent input datum program ground 3 limitation exist tool research agenda focus address three issue intention make asp verification accessible routine task regularly perform alongside program development vein investigate alternative semantic asp base translation logic hereandthere manysorte firstorder logic semantic promote modular understanding logic program bypass grounding enable we use automate theorem prover automatically verify property program,iclp,year_post_2024,2024,logic reasoning knowledge,48,0,program language answer set programming computer science set abstract datum type formal method theoretical computer science,5
answer set counting application,mohimenul kabir,focus answer set programming asp specifically answer set counting explore exact approximate methodology develop exact asp counter sharpasp utilize compact encoding propositional formula significantly enhance efficiency compare exist method often struggle inefficient encoding evaluation indicate sharpasp outperform current asp counter several benchmark addition propose approximate asp counter name approxasp hashingbase counter integrate gaussjordan elimination within asp solver clingo practical application employ approxasp network reliability estimation demonstrate superior performance traditional reliability estimator satbase method,iclp,year_post_2024,2024,bayesian model causal inference,42,0,set abstract datum type computer science programming language,5
logical foundation smart contract,kalonji kalala,nowadays sophisticated domain emerge require appropriate formalism specify accurately order reason one domain constitute smart contract emerge cyber physical system way enforce formal agreement component system smart contract selfexecute run share business process blockchain decentralized system many different participant legal contract many case complex document number exception many subcontract implementation smart contract base legal contract long laborious task need include action procedure effect action relate execution contract ongoing open problem area formally account smart contract use uniform somewhat universal formalism thesis propose logical foundation smart contract use situation calculus logic reasoning action situation calculu one prominent logicbase artificial intelligence approach provide enough logical mechanism specify implement dynamic complex system contract situation calculus suitable show world dynamically change smart contract go implement golog write en prolog situation calculusbase programming language model complex dynamic behavior,iclp,year_post_2024,2024,blockchain technology application security,34,0,business computer science,3
commonsense reasoningaide autonomous vehicle system,keegan kimbrell,autonomous vehicle av system develop strong reliance machine learn technique machine learning approach deep learn extremely effective task involve observation classification struggle come perform high level reasoning situation road research involve incorporate commonsense reasoning model use image datum improve av system allow av system perform accurate reasoning also make adjustable explainable ethical paper discuss finding far motivate direction go forward,iclp,year_post_2024,2024,semantic web ontology,18,0,commonsense reasoning computer science artificial intelligence,1
categorytheoretic perspective approximation fixpoint theory,samuele pollaci,approximation fixpoint theory aft found early 2000s denecker marek truszczynski abstract algebraic framework study semantic nonmonotonic logic since early success potential aft unify semantic framework become widely recognise interest aft gradually increase application range foundation database theory abstract argumentation nonmonotonic constructive process occur many area computer science together associate semantic structure successfully study use aft greatly simplifie characterization goal research take step towards lift aft general framework constructive knowledge,iclp,year_post_2024,2024,advanced algebra logic,0,0,perspective graphical mathematic computer science mathematical economics algebra field pure mathematics artificial intelligence,4
hybrid answer set programming foundation application,nicolas rühling,answer set programming asp powerful tool solve realworld problem however many problem involve numeric value complex constraint beyond capability standard asp solver hybrid solver like clingcon clingodl address use specialized method specific constraint however solver lack strong theoretical foundation issue first address introduce logic hereandthere constraint htc extension logic hereandthere ht nonmonotone extension equilibrium logic nowadays ht serve logical foundation asp facilitate broad understand paradigm idea htc extension play analogous role hybrid asp remain many open question logic regard fundamental characteristic well practical use solver ie guide implementation formal understanding hybrid logic also needed well understand inherent structure realworld problem apply improve representation asp example application asp use product configuration,iclp,year_post_2024,2024,logic reasoning knowledge,0,0,answer set programming set abstract datum type programming language computer science,5
early validation highlevel requirement cyberphysical system,ondřej vašíček,overarch broad topic research advancement area safetycritical cyberphysical system cp development emphasis validation verification particular focus research early validation highlevel requirement cp current approach tackle problem transform requirement event calculus subsequently reason use asp solver groundingfree scasp discuss research current state open issue still leave tackle first result work present paper accept iclp24 first paper area,iclp,year_post_2024,2024,software engineering technique practice,0,0,cyberphysical system computer science reliability engineering engineering operating system,1
reliable conversational agent asp control understand natural language,yankai zeng,effort make make machine converse like human past decadesthe recent technique large language model llm make possible humanlike conversation machine llm flaw lack understand reliability well documentedwe believe good way eliminate problem use llm parser translate text knowledge vice versa carry conversation reasoning knowledge use answer set programmingi develop framework base llm asp realize reliable chatbot understand human conversationthis framework use develop taskspecific chatbot well socialbotsmy future research focus make chatbot scalable trainable,iclp,year_post_2024,2024,robotic automate system,0,0,computer science natural archaeology natural language processing control management linguistics artificial intelligence biology philosophy,1
workshop proceeding 40th international conference logic programming iclpws 2024 colocate 40th international conference logic programming iclp 2024 dallas tx usa october 12th 13th 2024,esteban guerrero juan carlos nieves,noabstract,iclp,year_post_2024,2024,notopic,0,0,nokeyword,1
preferential reasoning typicality asp weight argumentation graph gradual semantic,mario alviano laura giordano daniele theseider dupré,noabstract,iclp,year_2022_2023,2023,notopic,43,0,nokeyword,2
introduce asp recipe asp chef,omar elbaga,noabstract,iclp,year_2022_2023,2023,notopic,28,0,nokeyword,4
sample probabilistic inference dslp,adam sanborn jian-qiao zhu jake spicer joakim sundh pablo león-villagrá nick chater,noabstract,iclp,year_2022_2023,2023,notopic,14,0,nokeyword,4
impact sensor update declarative ai videogame,noauthor,noabstract,iclp,year_2022_2023,2023,notopic,25,0,nokeyword,1
value awareness process automation reflection school place allocation model,joaquín arias mar moreno-rebato jose a. rodriguez-garcía sascha ossowski,noabstract,iclp,year_2022_2023,2023,logic reasoning knowledge,9,0,computer science reflection computer programming automation process computing value mathematics programming language machine learn engineering,1
brief discussion credal semantic probabilistic answer set program,damiano azzolini,noabstract,iclp,year_2022_2023,2023,notopic,41,0,nokeyword,5
link prediction knowledge graph probabilistic logic programming work progress,luigi bellomarini eleonora laurenza emanuel sallinger evgeny sherkhonov,noabstract,iclp,year_2022_2023,2023,notopic,13,0,nokeyword,4
rout schedule different way abridge preliminary report,noauthor,noabstract,iclp,year_2022_2023,2023,notopic,21,0,nokeyword,1
geometric reasoning travel salesperson problem compare answer set programming constraint logic programming approach,alessandro bertagnon marco gavanelli,noabstract,iclp,year_2022_2023,2023,notopic,24,0,nokeyword,1
semantically guide scene generation via contextual reasoning algebraic measure,wenhao ding,noabstract,iclp,year_2022_2023,2023,notopic,17,0,nokeyword,2
pastpresent temporal program finite trace preliminary report,pedro cabalar martín diéguez françois laferrière torsten schaub,extension answer set programming language construct temporal logic temporal equilibrium logic finite trace telf provide expressive computational framework model dynamic application paper study socalle pastpresent syntactic subclass consist set logic programming rule whose body reference past head present restriction ensure past remain independent future case dynamic domain extend definition completion loop formula case pastpresent formula allow capture temporal stable model set pastpresent temporal program mean ltlf expression,iclp,year_2022_2023,2023,logic reasoning knowledge,40,0,computer science temporal logic set abstract datum type linear temporal logic programming language dynamic programming theoretical computer science logic programming algorithm,2
explanation graph stable model label logic program,carolina ruiz jack minker,noabstract,iclp,year_2022_2023,2023,notopic,23,0,nokeyword,3
recursive aggregate intensional function,jorge fandinno zachary hansen,noabstract,iclp,year_2022_2023,2023,notopic,32,0,nokeyword,4
reasoning study regulation answer set programming preliminary report,susana hahn torsten schaub cedric martens amade nemes henry otunuya javier romero sebastian schellhorn,abstract interested automating reasoning study regulation cater various stakeholder range administrator faculty student different stage work build extensive analysis various study program university potsdam conceptualization underlie principle provide we formal account study regulation particular formalization reveal property admissible study plan end propose encode study regulation answer set programming produce corresponding study plan finally show approach extend generic user interface explore study plan,iclp,year_2022_2023,2023,logic reasoning knowledge,11,0,answer set programming computer science set abstract datum type programming language,5
expand class polynomial time computable wellfounde semantics hybrid mknf,knorr matthias alferes jos&eacute; j&uacute;lio hitzler pascal,noabstract,iclp,year_2022_2023,2023,notopic,9,0,nokeyword,1
legal compliance check autonomous driving formalize traffic rule exception,xi zheng,noabstract,iclp,year_2022_2023,2023,notopic,0,0,nokeyword,2
building blawx,karen bennett,noabstract,iclp,year_2022_2023,2023,notopic,0,0,nokeyword,1
model cyber defense use scasp,noauthor,noabstract,iclp,year_2022_2023,2023,notopic,26,0,nokeyword,1
semantic analysis assurance case use scasp,alistair duke,noabstract,iclp,year_2022_2023,2023,notopic,13,0,nokeyword,3
well sota legal reasoning model support abductive reasoning,ha-thanh nguyen randy goebel francesca toni kostas stathis ken satoh,examine well stateoftheart sota model use legal reasoning support abductive reasoning task abductive reasoning form logical inference hypothesis formulate set observation hypothesis use explain observation ability formulate hypothesis important lawyer legal scholar help articulate logical argument interpret law develop legal theory motivation consider belief deep learning model especially large language model llm soon replace lawyer perform well task relate legal text processing believe require form abductive hypothesis formation word llm become popular powerful want investigate capacity abductive reasoning pursue goal start build logicaugmente dataset abductive reasoning 498697 sample use evaluate performance sota model legal field experimental result show although model perform well task relate aspect legal text processing still fall short support abductive reasoning task,iclp,year_2022_2023,2023,artificial intelligence law,33,0,abductive reasoning deductive reasoning inference computer science casebase reasoning artificial intelligence nonmonotonic logic field mathematic logical reasoning reasoning system cognitive science psychology mathematic,5
beyond logic program legal reasoning,francesca toni,logic programming long advocate legal reasoning several approach put forward rely upon explicit representation law logic programming term position paper focus proleg logicprogrammingbase framework formalizing reasoning japanese presuppose ultimate fact theory specifically examine challenge opportunity leverage deep learning technique improve legal reasoning use proleg identify four distinct option range enhance fact extraction use deep learning endtoend solution reason textual legal description assess advantage limitation option consider technical feasibility interpretability alignment need legal practitioner decisionmaker believe analysis serve guideline developer aim build effective decisionsupport system legal domain foster deep understanding challenge potential advancement neurosymbolic approach legal application,iclp,year_2022_2023,2023,artificial intelligence law,31,0,computer science interpretability artificial intelligence management science engineering,5
nesyfold extract logic program convolutional neural network,jens lehmann sebastian bader pascal hitzler,noabstract,iclp,year_2022_2023,2023,notopic,52,0,nokeyword,5
dataset contractual event court decision,robert m. guion,noabstract,iclp,year_2022_2023,2023,notopic,31,0,nokeyword,4
asymptoticplp approximate probabilistic logic program large domain,damiano azzolini fabrizio riguzzi theresa swift,noabstract,iclp,year_2022_2023,2023,notopic,24,0,nokeyword,3
argument analysis use answer set programming semanticsguide large language model,fabrizio riguzzi,noabstract,iclp,year_2022_2023,2023,notopic,30,0,nokeyword,1
subtlety causal reasoning probabilistic logic programming bug report causal interpretation annotate disjunction,noauthor,noabstract,iclp,year_2022_2023,2023,notopic,8,0,nokeyword,4
reintegration logical english scasp,noauthor,noabstract,iclp,year_2022_2023,2023,notopic,18,0,nokeyword,4
quantification aggregation concept ontology,pierre carbonnelle matthias van der hallen marc denecker,argue kr application want quantify set concept formally represent symbol vocabulary show quantification distinguish secondorder quantification metaprogramme quantification also investigate relationship concept intensional logic present extension firstorder logic support abstraction show allow write expression knowledge elaboration tolerant avoid nonsensical sentence formalism refine concept wellforme sentence propose method verify wellformedness complexity linear number token formula extend fo knowledge representation language idpz3 reasoning engine fo accordingly show extension essential accurately model various problem domain elaborationtolerant way ie without reification,iclp,year_2022_2023,2023,logic reasoning knowledge,37,0,ontology computer science datum science information retrieval epistemology philosophy,4
reliable natural language understand large language model answer set programming,abhiramon rajasekharan yankai zeng parth padalkar gopal gupta,human understand language extract information mean sentence combine exist commonsense knowledge perform reasoning draw conclusionswhile large language model llm gpt3 chatgpt able leverage pattern text solve variety nlp task fall short problem require reasoningthey also reliably explain answer generate give questionin order emulate human well propose star framework combine llm answer set programming aspwe show llm use effectively extract knowledgerepresente predicatesfrom languagegoaldirecte asp employ reliably reason knowledgewe apply star framework three different nlu task require reasoning qualitative reasoning mathematical reasoning goaldirecte conversationour experiment reveal star able bridge gap reasoning nlu task lead significant performance improvement especially small llm ie llm small number parametersnlu application develop use star framework also explainable along predicate generate justification form proof tree produce give output,iclp,year_2022_2023,2023,topic modeling,35,0,computer science answer set program natural language programming set abstract datum type natural language programming language natural language processing artificial intelligence firstgeneration programming language natural archaeology programming language specification universal network language programming domain programming paradigm comprehension approach inductive programming,5
bottomup stratify probabilistic logic programming fusemate,peter baumgartner elena tartaglia,paper introduce fusemate probabilistic logic programming system fusemate inference engine comprise ground component variable elimination method probabilistic inference fusemate differ system ground program bottomup way instead common topdown way bottomup ground attractive number reason eg dynamically create distribution vary support size make hard control amount ground clause generate address problem interleave grounding queryguide relevance test prune rule whose body inconsistent query do present method detail demonstrate example involve time hide markov model experiment demonstrate competitive well performance compare stateofthe art probabilistic logic programming system particular high branching problem,iclp,year_2022_2023,2023,logic reasoning knowledge,19,0,probabilistic logic computer science probabilistic ctl logic programming ground inference interleave markov chain probabilistic logic network theoretical computer science programming language artificial intelligence machine learn probabilistic analysis algorithm engineering,3
inductive learn declarative domainspecific heuristic asp,richard comploi-taupe,domainspecific heuristic crucial technique efficient solve problem large computationally hard answer set programming asp system support declarative specification domainspecific heuristic improve solve performance however heuristic must invent manually far invent domainspecific heuristic answerset program require expertise domain consideration familiarity asp syntax semantic solve technology process invent useful heuristic would highly profit automatic support paper present novel approach automatic learning heuristic use inductive logic programming ilp learn declarative domainspecific heuristic example stem nearoptimal answer set small representative problem instance experimental result indicate learn heuristic improve solve performance solution quality solve large hard instance problem,iclp,year_2022_2023,2023,logic reasoning knowledge,24,0,heuristics computer science answer set programming domain mathematical analysis inductive logic programming set abstract datum type artificial intelligence semantic computer science logic programming programming language theoretical computer science mathematic,4
independency hide structure probabilistic logic program,kilian rückschloß felix weitkämper,pearl verma develop dseparation widely use graphical criterion reason conditional independency imply causal structure bayesian network acyclic ground probabilistic logic program correspond bayesian networks dependency graph compute conditional independency dseparation latter present paper generalize reasoning nonground case first abstract notion probabilistic logic program away external database probability obtain socalle program structure present correct metainterpreter decide whether certain conditional independence statement imply program structure give external database finally give fragment program structure obtain completeness statement conditional independence oracle close experimental evaluation approach reveal metainterpreter perform significantly fast check definition independence use exact inference problog 2,iclp,year_2022_2023,2023,bayesian model causal inference,17,0,conditional independence bayesian network computer science probabilistic logic direct acyclic graph graphical model theoretical computer science dependency uml inference independence probability theory artificial intelligence programming language mathematic algorithm,5
feasibility declarative diagnosis,włodzimierz drabent,programming language prolog make declarative programming possible least substantial extent program may write reasoned term declarative semantic advantage declarative programming however lose come program debug prolog debugger base solely operational semantic declarative method diagnosis ie locate error program exist neglect paper discuss possibly main weakness shows overcome argue useful way declarative diagnosis logic program exist usable actual programming,iclp,year_2022_2023,2023,logic programming type system,22,0,program language debugger declarative programming computer science prolog debug logic programming fifthgeneration programming language semantic computer science algorithmic program debug usable constraint program procedural programming inductive programming programming paradigm mathematic,2
deontic paradox asp weak constraint,christian hatschka agata ciabattoni thomas eiter,rise powerful ai technology range application sensitive legal social ethical norm demand decisionmake support presence norm regulation normative reasoning realm deontic logic challenge wellknown benchmark problem deontic paradox lack efficient computational tool paper use answer set programming asp address shortcoming showcase encode resolve several wellknown deontic paradox utilize weak constraint abstracting generalizing encode present methodology translate normative system asp weak constraint methodology apply ethical version pacman obtain comparable performance relate work ethically preferable result,iclp,year_2022_2023,2023,logic reasoning knowledge,26,0,deontic logic normative realm answer set programming computer science benchmark surveying set abstract datum type encode epistemology artificial intelligence programming language philosophy political science law,3
aba learn via asp,emanuele de angelis maurizio proietti francesca toni,problog popular probabilistic logic programming language tool widely use application require deal inherent uncertainty structure domain paper study connection problog variant another wellknown formalism combine symbolic reasoning reasoning uncertainty namely probabilistic argumentation specifically show problog instance form probabilistic abstract argumentation paa constellation approach build upon assumptionbased argumentation aba connection pave way towards equip problog variety alternative semantic inherit paapaba well obtain novel argumentation semantic paapaba leverage exist connection problog argumentation moreover connection pave way towards novel form argumentative explanation problog output,iclp,year_2022_2023,2023,logic reasoning knowledge,19,0,rote learn argumentation theory computer science set abstract datum type artificial intelligence active learning machine learning mathematic education programming language cooperative learning psychology epistemology teaching method philosophy,1
benchmarke integrate logic rule everything else,yanhong a. liu scott d. stoller yi tong k. tuncay tekle,integrate logic rule language feature increasingly seek advanced application require knowledgebase capability address demand increasingly language extension integration develop evaluate language paper describe set programming performance benchmark evaluate language support integrate use rule feature result evaluate integrate language together logic language language support logic rule,iclp,year_2022_2023,2023,logic reasoning knowledge,34,0,computer science logic programming benchmarke ontology language programming language fifthgeneration programming language set abstract datum type declarative programming secondgeneration programming language artificial intelligence programming paradigm inductive programming,4
explanation answer set programming,mario alviano ly ly trieu tran cao son marcello balduccini,paper present enhancement xasp system generate explanation graph answer set programming asp different xasp new system xasp2 support different clingo construct like choice rule constraint aggregate sum min work formalize present explainable artificial intelligence system broad fragment asp capable shrink much possible set assumption present explanation term direct acyclic graph,iclp,year_2022_2023,2023,logic reasoning knowledge,31,0,answer set programming set abstract datum type fragment logic computer science direct acyclic graph theoretical computer science programming language artificial intelligence algorithm,5
dataflow analysis compare reorder predicate argument,gonzague yernaux wim vanhoof,work do context mode logic programming language devise dataflow analysis dedicate compute call argument profile profile essentially describe argument predicate functionality ie operation argument involve evaluation predicate well argument contribute consumption andor construction datum value compute argument profile useful application context program understanding profile essentially provide way well understand role argument importantly provide way discern argument manner finegrained do abstract characterization type mode important application one need identify correspondence argument two different predicate need compare clone detection moreover since total order define abstract domain profile analysis use rearrange predicate argument order accord functionality constitute essential ingredient predicate normalization technique,iclp,year_2022_2023,2023,software engineering research,30,0,computer science predicate mathematical logic dataflow argument complex analysis normalization sociology programming language theoretical computer science,2
quotwould life interesting aiquot answer counterfactual base probabilistic inductive logic programming,kilian rückschloß felix weitkämper,probabilistic logic program logic program fact hold specify probability investigate program causal framework allow counterfactual query learn program structure observational datum usually do heuristic search rely statistical test however statistical test lack information causal mechanism generate datum make unfeasible use result program counterfactual reasoning address propose language fragment allow reconstruct program induce distribution enable we learn program support counterfactual query,iclp,year_2022_2023,2023,bayesian model causal inference,8,0,counterfactual think counterfactual conditional probabilistic logic computer science artificial intelligence inductive logic programming machine learn heuristic logic programming theoretical computer science probabilistic ctl fragment logic causal structure probabilistic argumentation programming language probabilistic analysis algorithm psychology,5
towards oneshot learn text classification use inductive logic programming,ghazal afroozi milani daniel cyrus alireza tamaddoni-nezhad,everincrease potential ai perform personalise task become essential develop new machine learn technique dataefficient require hundred thousand train datum paper explore inductive logic programming approach oneshot text classification particular explore framework metainterpretive learning mil along use commonsense background knowledge extract conceptnet result indicate mil learn text classification rule small number training example moreover high complexity choose example high accuracy outcome,iclp,year_2022_2023,2023,imbalance datum classification technique,27,0,inductive logic programming computer science shot pellet artificial intelligence machine learn natural language processing,4
potential clip compositional logical reasoning,justin brody,paper explore possibility use openais clip perform logically coherent ground visual reasoning end formalize term give geometric analysis embedding clip latent space would need configure order system logically coherent main conclusion usually configure clip perform reasoning,iclp,year_2022_2023,2023,semantic web ontology,12,0,computer science logical reasoning artificial intelligence space punctuation order exchange deductive reasoning cognitive science psychology,2
generalize level rank constraint monotone convex aggregate,tomi janhunen,answer set programming asp answer set capture solution search problem interest thus efficient computation answer set utmost importance one viable implementation strategy provide translationbase asp logic program translate kr formalism boolean satisfiability sit sit modulo theory smt mixedinteger programming mip consequently exist solver harness computation answer set many exist translation rely program completion level ranking capture minimality answer set default negation properly work take level rank constraint reconsideration aiming generalization cover aggregatebase extension asp systematic way apply number program transformation ranking constraint rewrite general form preserve structure monotone convex aggregate thus offer uniform basis incorporation translationbase asp result open new possibility implementation translator solver pipeline practice,iclp,year_2022_2023,2023,logic reasoning knowledge,32,0,rank information retrieval generalization computer science solver answer set programming satisfiability modulo theory theoretical computer science monotone polygon set abstract datum type modulo programming language mathematic discrete mathematic artificial intelligence,1
sort strategy interactive conflict resolution asp,andre thevapalan gabriele kern-isberner,answer set program practice often subject change lead inconsistency modify program due conflict rule result derivation strongly complementary literal facilitate maintenance consistency answer set program paper continue work recently present framework implement interactive conflict resolution extend body conflict rule suitable literal socalle lambdaextension precisely present strategy choose lambdaextension allow resolve several conflict time order aim minimize cognitive effort particular present graphical representation connection conflict possible solution representation utilize efficiently guide user conflict resolution process display conflict suggest solution suitable order,iclp,year_2022_2023,2023,logic reasoning knowledge,0,0,computer science conflict resolution set abstract datum type representation politic consistency knowledge basis sorting process compute resolution logic order exchange theoretical computer science artificial intelligence programming language,2
natlog embed logic programming python deeplearning ecosystem,paul tarau,drive expressiveness commonality python pythonbase embed logicbased language natlog design highlevel interaction pattern equivalent language construct data type two side directly connect generator backtrack nest tuple term coroutine firstclass logic engine reflection metainterpretation enable logicbase language construct access full power python ecosystem show effectiveness design via natlog app work orchestrator jax pytorch pipeline dcgdriven gpt3 dalle prompt generator keyphrase embed logic programming python ecosystem highlevel interparadigm datum exchange coroutine logic engine logicbase neurosymbolic computing logic grammar promptgenerator large language model logicbase neural network configuration training,iclp,year_2022_2023,2023,logic programming type system,14,0,python programming language programming language computer science logic programming embed theoretical computer science artificial intelligence,5
understand problog probabilistic argumentation,francesca toni nico potyka markus ulbricht pietro totis,problog popular probabilistic logic programming languagetool widely use application require deal inherent uncertainty structure domain paper study connection problog variant another wellknown formalism combine symbolic reasoning reasoning uncertainty ie probabilistic argumentation specifically show problog instance form probabilistic abstract argumentation paa build upon assumptionbased argumentation aba connection pave way towards equip problog alternative semantic inherit paapaba well obtain novel argumentation semantic paapaba leverage prior connection problog argumentation connection pave way towards novel form argumentative explanation problog output,iclp,year_2022_2023,2023,logic reasoning knowledge,24,0,probabilistic argumentation argumentation theory probabilistic logic argumentative computer science formalism music semantic computer science logic programming artificial intelligence theoretical computer science argumentation framework programming language epistemology philosophy,4
logic programming approach global logistics codesign environment,emmanuelle dietz tobias philipp gerrit schramm andreas zindel,codesign environment change need integrate quickly automate manner paper consider challenge create optimize global logistic system construction passenger aircraft within codesign approach respect key performance indicator like cost time resilience product question aircraft comprise multiple component manufacture multiple site worldwide goal find optimal way build aircraft take consideration requirement industrial system main motivation approach challenge develop industrial system tandem product make resilient unforeseen event reduce risk bottleneck supply chain risk reduction ensure continue efficiency operational success address challenge complex task choose answer set programming asp modeling language formalize relevant requirement investigate industrial system approach present paper cover three main aspect extraction relevant information knowledge graph translation logic program computation exist configuration guide optimization criterion finally visualize result effortless evaluation model internal result seem promise yield several new research question future improvement discuss use case,iclp,year_2022_2023,2023,logic reasoning knowledge,33,0,computer science supply chain task project management key lock resilience material science set abstract datum type system engineering risk analysis engineering engineering,3
janus system multiparadigm programming prolog python,theresa swift carl andersen,python prolog express different programming paradigm different strength python wildly popular wellstructure easy use mix well thousand scientific machine learning program write c prologs logicbased approach provide powerful reasoning capability especially combine constraint evaluation probabilistic reasoning wellfounde negation advance language commonality well usually write c dynamically type use datum structure base small number recursive type paper describe design implementation janus system tightly combine prolog python single process janus bitranslate data structure offer performance many hundred thousand roundtrip interlanguage call per second although janu still new use commercial application include natural language processing visual query answer robotic automation janu develop xsb port janu code second prolog straightforward indicate janus tool prolog may easily adopt,iclp,year_2022_2023,2023,software engineering research,16,0,prolog programming language computer science janu python programming language logic programming constraint programming artificial intelligence theoretical computer science,1
leasing cloudedge continuum la carte,stefano forti ahmad ibrahim antonio brogi,nextgen computing paradigms foresee deploying application virtualise resource along continuum cloudedge node much literature focusse place application onto resource meet requirement lease resource application operator infrastructure provider need identify portion cloudedge asset meet set requirement article propose novel declarative resource selection strategy prototype prolog determine suitable infrastructure portion satisfie requirement proposal showcase lifelike scenario,iclp,year_2022_2023,2023,cloud compute resource management,21,0,cloud computing computer science prolog lease enhance datum rate gsm evolution edge computing set abstract datum type resource disambiguation software engineering distribute computing operating system computer network programming language telecommunication business,1
assess driversapos situation awareness semiautonomous vehicle asp base characterisation drive dynamic modelling scene interpretation projection,jakob suchan jan-patrick osterloh,semiautonomous driving already available today eventually become even accessible implie need driver automation system reliably work together order ensure safe drive particular challenge endeavour situation vehicle automation long able drive thus request human take situation driver quickly build awareness traffic situation able take control safely drive car within context present software hardware framework asse aware driver situation provide humancentre assistance help build situation awareness framework develop modular system within robot operating system ro modules sense environment driver state modelling driver situation awareness guide driver attention use specialized human machine interface hmis particular focus paper answer set programming asp base approach modelling reasoning driver interpretation projection scene base scene datum well eyetracke datum reflect scene element observe driver present overall application discuss role semantic reasoning model cognitive function base logic programming application furthermore present asp approach interpretation projection driver situation awareness integration within overall system context realworld usecase simulate well real driving,iclp,year_2022_2023,2023,logic reasoning knowledge,28,0,situation awareness computer science automation humancomputer interaction context archaeology modular design interpretation philosophy focus optic software artificial intelligence engineering,2
